day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
51,13.5,247,0,283.060729980469,790.5078125,507.447082519531,749.396396158195,749.396396158195,51.0346028616303,2604.53068924433,6.81009451383285,185100.909851074,185100.909851074,746.491,754.206,762.176,769.922
51,14.0,247,0,526.161376953125,675.713562011719,149.552185058594,654.559376334372,654.559376334372,23.3268654441494,544.142651449452,3.56375086623665,161676.16595459,161676.16595459,651.356,662.146,666.399,669.324
56,11.5,247,0,288.540710449219,739.204833984375,450.664123535156,687.056198923211,687.056198923211,38.3113258848838,1467.75769105777,5.57615606189526,169702.881134033,169702.881134033,679.206,691.018,699.834,705.751
56,12.0,247,0,302.753692626953,771.960021972656,469.206329345703,736.57007651387,736.57007651387,48.7268237412396,2374.30335190983,6.61536835325431,181932.808898926,181932.808898926,734.798,743.164,747.896,754.7
56,12.5,247,0,453.384613037109,770.299072265625,316.914459228516,736.378626649679,736.378626649679,51.0022302937667,2601.22749493841,6.92608780971996,181885.520782471,181885.520782471,743.294,751.034,755.615,760.928
56,13.0,247,0,322.876373291016,806.35400390625,483.477630615234,765.716712488337,765.716712488337,54.995931005164,3024.55242712476,7.18228165955065,189132.027984619,189132.027984619,767.342,774.636,780.588,785.62
56,13.5,247,0,-596.97900390625,756.315795898438,1353.29479980469,592.641881857806,631.639408914666,274.085274432875,75122.7376609445,46.2480433501723,146382.544818878,156014.934001923,585.435,724.478,741.965,750.265
56,14.0,247,0,522.873168945312,716.94384765625,194.070678710938,696.109386861083,696.109386861083,19.0919271006506,364.501680416556,2.74266192368709,171939.018554688,171939.018554688,695.284,698.917,702.018,704.489
61,11.5,247,0,214.934936523438,790.028686523438,575.09375,734.938872982133,734.938872982133,49.481744796276,2448.44306808378,6.73277011399544,181529.901626587,181529.901626587,729.365,740.761,749.729,756.251
61,12.0,247,0,301.186889648438,798.460205078125,497.273315429688,756.148342117124,756.148342117124,42.8901761227868,1839.56720784367,5.67219072420359,186768.64050293,186768.64050293,751.834,761.032,768.862,774.354
61,12.5,247,0,213.367111206055,855.949157714844,642.582046508789,812.755510337922,812.755510337922,67.7118429671426,4584.89367800698,8.33114535747531,200750.611053467,200750.611053467,808.222,821.402,833.022,841.29
61,13.0,247,0,195.830551147461,873.271606445312,677.441055297852,830.835093756919,830.835093756919,71.1229438143103,5058.47313681353,8.56041642303557,205216.268157959,205216.268157959,828.184,840.656,850.136,858.189
61,13.5,247,0,189.727401733398,883.220275878906,693.492874145508,829.983265062093,829.983265062093,73.3830021865153,5385.0650099061,8.84150383213152,205005.866470337,205005.866470337,821.154,840.982,853.357,864.372
61,14.0,247,0,198.321701049805,860.149780273438,661.828079223633,806.116978757295,806.116978757295,69.6123694128924,4845.88197527699,8.63551708341467,199110.893753052,199110.893753052,805.195,816.883,824.228,833.119
66,11.5,247,0,211.094619750977,792.526428222656,581.43180847168,739.994006261169,739.994006261169,50.2405686884955,2524.11474214343,6.78932103009006,182778.519546509,182778.519546509,733.484,744.258,753.858,763.657
66,12.0,247,0,333.441101074219,796.416076660156,462.974975585938,761.830034263704,761.830034263704,39.782109403341,1582.61622857939,5.2219140246669,188172.018463135,188172.018463135,759.532,766.253,771.06,775.365
66,12.5,247,0,223.969207763672,853.234069824219,629.264862060547,817.441707657416,817.441707657416,65.4318983800106,4281.33332561204,8.00447270638075,201908.101791382,201908.101791382,815.545,825.71,834.962,841.031
66,13.0,247,0,185.074829101562,890.570190429688,705.495361328125,845.847577670325,845.847577670325,73.4038972412784,5388.13213020817,8.67814712473979,208924.35168457,208924.35168457,844.618,857.393,864.279,870.344
66,13.5,247,0,168.228500366211,901.512329101562,733.283828735352,845.545372163719,845.545372163719,76.4538258038171,5845.18748004041,9.04195426061817,208849.706924438,208849.706924438,841.928,855.447,866.124,875.378
66,14.0,247,0,169.146774291992,889.557189941406,720.410415649414,823.743147815287,823.743147815287,74.2189024308479,5508.44547803971,9.0099568813033,203464.557510376,203464.557510376,823.035,833.949,843.607,852.254
71,11.5,247,0,417.841827392578,748.020935058594,330.179107666016,699.869710945407,699.869710945407,44.1606661730016,1950.16443684329,6.30984102931786,172867.818603516,172867.818603516,702.426,710.871,717.551,722.598
71,12.0,247,0,614.067321777344,801.661193847656,187.593872070312,765.997836340777,765.997836340777,23.0985210488071,533.541674642186,3.0154812393662,189201.465576172,189201.465576172,760.28,765.957,776.352,785.755
71,12.5,247,0,482.212768554688,839.791625976562,357.578857421875,788.921288988368,788.921288988368,55.5780428859754,3088.91885103533,7.04481469339521,194863.558380127,194863.558380127,800.513,804.853,808.768,812.891
71,13.0,247,0,402.662902832031,840.795715332031,438.1328125,815.925001383793,815.925001383793,47.2238684199092,2230.09374854089,5.78777073135624,201533.475341797,201533.475341797,818.184,821.758,825.21,830.075
71,13.5,247,0,318.475708007812,844.723937988281,526.248229980469,816.813011385651,816.813011385651,44.0158351587918,1937.39374472593,5.38872845378929,201752.813812256,201752.813812256,815.53,820.232,825.06,830.335
71,14.0,247,0,290.174652099609,832.539978027344,542.365325927734,777.029634174548,777.029634174548,94.8866885478526,9003.48366357718,12.2114632923431,191926.319641113,191926.319641113,791.688,797.399,803.851,810.409
76,11.5,247,0,310.604888916016,785.272216796875,474.667327880859,716.555759074717,716.555759074717,78.657872010915,6187.06082928549,10.9772158013893,176989.272491455,176989.272491455,732.846,743.417,750.72,754.989
76,12.0,247,0,526.972106933594,814.260864257812,287.288757324219,779.112562171843,779.112562171843,29.9202311177057,895.220230136926,3.84029632820969,192440.802856445,192440.802856445,776.961,780.649,787.441,798.162
76,12.5,247,0,301.905944824219,852.26513671875,550.359191894531,814.740086111463,814.740086111463,72.9740940262794,5325.21839895627,8.95673298395877,201240.801269531,201240.801269531,823.723,830.098,834.87,839.308
76,13.0,247,0,208.053176879883,913.348083496094,705.294906616211,849.290805152553,849.290805152553,72.7818616265027,5297.19938181938,8.56972207693091,209774.828872681,209774.828872681,848.99,857.174,865.59,874.579
76,13.5,247,0,200.075653076172,905.689270019531,705.613616943359,724.252756219161,724.252756219161,164.683869101258,27120.7767421604,22.7384525204933,178890.430786133,178890.430786133,547.009,852.514,864.392,878.375
76,14.0,247,0,188.610855102539,880.527221679688,691.916366577148,684.158673985284,684.158673985284,184.354920477728,33986.7367043495,26.9462227824789,168987.192474365,168987.192474365,528.562,827.494,843.16,854.999
81,11.5,247,0,607.443664550781,755.548706054688,148.105041503906,728.13492278435,728.13492278435,13.3246040113339,177.545072058857,1.8299635952608,179849.325927734,179849.325927734,722.755,729.99,734.792,738.342
81,12.0,247,0,825.06396484375,1043.21484375,218.15087890625,933.735054294107,933.735054294107,74.8176237081326,5597.67681733172,8.0127251690999,230632.558410645,230632.558410645,858.368,929.785,1014.86,1033.32
81,12.5,247,0,565.475952148438,1016.13848876953,450.662536621094,854.332190633303,854.332190633303,50.6106303559503,2561.43590502664,5.92399899135645,211020.051086426,211020.051086426,833.499,838.776,865.159,904.711
81,13.0,247,0,380.809448242188,885.791625976562,504.982177734375,848.94279189631,848.94279189631,48.9723130686144,2398.28744729038,5.76862346156723,209688.869598389,209688.869598389,849.454,853.753,858.365,863.104
81,13.5,247,0,300.237731933594,878.824829101562,578.587097167969,848.924788254958,848.924788254958,57.6479904026145,3323.29079745993,6.79070645600009,209684.422698975,209684.422698975,850.082,854.2,860.844,866.319
81,14.0,247,0,246.851196289062,877.118774414062,630.267578125,814.605226833328,814.605226833328,99.8208164939808,9964.19540552499,12.2538885346981,201207.491027832,201207.491027832,827.866,834.811,843.043,851.213
1,11.5,247,0,68.1743621826172,402.264251708984,334.089889526367,267.295542388792,267.295542388792,76.5100562669492,5853.78870997174,28.6237681269156,66021.9989700317,66021.9989700317,215.345,287.605,309.838,364.217
